sentence,id,processed_sentences,cluster_label
Maria's parents decided to move next month,10152_0,maria parents decided month,48
Brad and Margaret are planning a conference for the 8th and 9th of March,10155_0,brad margaret planning conference march,30
Martin thinks that Grand Tour is now way better than Top Gear,10157_0,martin thinks grand tour gear,12
They are going to donate to Cancer Research UK as a birthday gift for Richard,10160_0,donate cancer birthday gift richard,0
" She does not agree with her daughter's choices around the birth, but Zelma states she does not need consent",10162_1,agree daughter choices birth zelma states consent,24
Kirsten wants Martin to do the shopping because she is meeting her friends tonight for dinner and drinks,10165_0,kirsten martin shopping meeting friends tonight dinner drinks,26
Noah will give Jason a lift to work as his car broke down,10168_0,noah jason lift work car broke,1
Hilda is exhausted after a long day of work,10170_0,hilda exhausted long day work,67
 Hans is working,10170_2,hans working,2
"Matt's dog is sick, but the new medications received from a vet are working",10173_0,matt dog sick medications received vet working,2
 Jimmy needs more time,10174_1,jimmy time,17
Ryan's going to watch the highlights of a basketball match but David spoils everything by saying that LeBron was instrumental in defeating Toronto,10175_0,ryan watch highlights basketball match david spoils lebron instrumental defeating toronto,0
Jacob and Alex aren't sure what to do for their project,10177_0,jacob alex project,0
 White doesn't explain things clearly,10177_2,white explain things,33
 She was working her stress off in the class,10177_5,working stress class,2
Sam is waiting for Wendy to finish work,10183_0,sam waiting wendy finish work,1
"Jane, Amanda, Linda and Candy are planning to read ""Snow"" by Orhan Pamuk for their next meeting",10185_0,jane amanda linda candy planning read snow orhan pamuk meeting,61
Tim thinks Flores is the most beautiful island in Azores,10187_0,tim thinks flores beautiful island azores,12
 Jenny recommends Terceira,10187_1,jenny recommends terceira,9
 Tomas thinks all the Azores islands are beautiful,10187_2,tomas thinks azores islands beautiful,12
"The homework was an essay on ethical fashion, which has to be done till December 1st",10188_0,homework essay ethical fashion till december,0
 Nicky will buy some after work,10191_1,nicky buy work,1
"Mark, Anna, George and Julia agreed on second and third week of July",10194_0,mark anna george julia agreed week july,50
 Carly agrees,10197_1,carly agrees,69
Isabel asks Gina about Italian restaurants in New York,10199_0,isabel asks gina italian restaurants york,18
 Gina recommends Barbuto (Washington St,10199_2,gina recommends barbuto washington,9
 Gina has a lot of work,10199_6,gina lot work,59
" Harvey visits her every day after work, but his brother never visits her",10207_1,harvey visits day work brother visits,67
Faith agrees to lend Ashley 50 dollars until the weekend,10209_0,faith agrees lend ashley dollars weekend,69
Martin is suggesting Susan different locations where they can meet up on Friday at 1pm,10210_0,martin suggesting susan locations meet friday,0
 They decide to meet at a vegan sushi restaurant,10210_2,decide meet vegan sushi restaurant,28
 Martin is asking Susan to bring the book that she was going to lend him,10210_3,martin susan bring book lend,0
" They have been supposed to meet for months, but Chloe was very busy at work",10211_2,supposed meet months chloe busy work,1
Benny is busy with work on the project,10213_0,benny busy work project,0
 Adam and Benny arrange a workout at 7 a,10213_1,adam benny arrange workout,0
Ben needs new recipe ideas from Joy,10221_0,ben recipe ideas joy,38
" She suggests salmon with sesame oil and soy sauce and honey, cod with lime juice, olive oil, and coriander, and chicken with peanut butter, coconut cream, and rice",10221_1,suggests salmon sesame oil soy sauce honey cod lime juice olive oil coriander chicken peanut butter coconut cream rice,27
Justin's laptop has stopped working,10223_0,justin laptop stopped working,2
Mary asks Tom to buy some fruits for dessert as his parents are visiting them,10225_0,mary asks tom buy fruits dessert parents visiting,66
Carol will come to Kenneth after work about 5 pm and she will help him bathe his cat,10230_0,carol kenneth work bathe cat,1
Gloria cannot go with Leo to see a motorsport show during her working hours,10231_0,gloria leo motorsport working hours,2
 She agrees to go with him to the show happening at 7pm,10231_1,agrees happening,69
 They both decide to also attend the pit party which costs 15$,10231_3,decide attend pit party costs $,28
Pratesh is at work,10238_0,pratesh work,1
Frank has caught a virus and can't come to work tomorrow,10239_0,frank caught virus work tomorrow,13
"Steve would like other people to use Wifi CR instead of ""The beach"" network, becuse he wants to play on the internet",10240_0,steve people wifi beach network becuse play internet,15
"Kate, Marion, Simone and Jeff are going to Don Pizzaiolo, a small pizzeria on the other side of the river tomorrow",10241_0,kate marion simone jeff pizzaiolo small pizzeria river tomorrow,13
"Linda, Greg's mother, will babysit Johnny today because Greg has to work",10244_0,linda greg mother babysit johnny today greg work,41
Gary is in Glasgow and wants to know how are things at work,10250_0,gary glasgow things work,33
 It is Angela's last day at work,10250_2,angela day work,67
Daniel is lodging a complain with his internet service provider ABC for billing him for an extra service which he timely and according to the service agreement asked to discontinue,10251_0,daniel lodging complain internet service provider abc billing extra service timely service agreement asked discontinue,23
 They talked about work,10256_1,talked work,1
Blake's neighbour's children are very noisy and he can't focus on his work,10257_0,blake neighbour children noisy focus work,1
 Lorenzo recommends calling the police,10257_2,lorenzo recommends calling police,9
" Kaz suggests a drink, so they will meet at 7:30 pm at Jen's place",10259_2,kaz suggests drink meet jen place,27
Julie asked Jack to buy the Daily Mail on his way home,10260_0,julie asked jack buy daily mail,23
"Will wants to drop the course as he doesn't understand it, but at Rose's request, who promises to help him, he agrees to wait until the drop deadline",10262_0,drop understand rose request promises agrees wait drop deadline,69
Monika thinks Marlene did not know Monika wanted to keep the engagement secret,10266_0,monika thinks marlene monika wanted engagement secret,43
A girl asked Rick for his number,10271_0,girl asked rick number,23
 Jennel promises she didn't do anything,10273_1,jennel promises,0
"Margo thought it was Saturday, but it's Friday and she has to be at work in an hour",10279_0,margo thought saturday friday work hour,4
 Molly's pain is still tom much for her to get back to work,10282_4,molly pain tom work,66
"Welo, John, Agnieszka and Maryia are meeting next week at 17:30 at Nero to work on their project",10285_0,welo john agnieszka maryia meeting week nero work project,50
" They are supposed to prepare Global Level Characteristics & Value System for the first workshop, for which they need to get access to Euromonitor",10285_1,supposed prepare global level characteristics workshop access euromonitor,49
 Alphonse Wilson prefers PR actions but they might need to look for outside sponsors,10289_5,alphonse wilson prefers actions sponsors,0
 She will ask them for a replacement,10290_2,replacement,0
Mea needs to work few hours on Sunday,10298_0,mea work hours sunday,1
A and M are discussing details of a game they are playing,10300_0,discussing details game playing,0
Isabel has recommended Lydia an app called MobileVOIP,10307_0,isabel recommended lydia app called mobilevoip,0
 Victoria is working with her friend on a Harry Potter story set in 1970s,10310_1,victoria working friend harry potter story set,2
Harper is upset with him because he tried to take credit for the presentation he didn't prepare,10315_0,harper upset credit presentation prepare,49
 He now has to prepare a new one for professor Garcia,10315_1,prepare professor garcia,49
Anna asignes Isabella some data entry work in Excell paid 10 dollars per sheet,10316_0,anna asignes isabella data entry work excell paid dollars sheet,46
 She accepts the task,10316_2,accepts task,47
Daniel and Marie will come over tonight to share something important,10318_0,daniel marie tonight share,0
" Madison is angry, because she has a lot to do",10318_1,madison angry lot,59
Daniel doesn't want to go for lunch because he has a lot of work to do,10319_0,daniel lunch lot work,59
Ted suggests that Gail should take Ted's copy of the report from the yesterday's meeting and make another one for himself,10321_0,ted suggests gail ted copy report yesterday meeting,53
 Joanna thinks it's snobbish as Anne just bought this desk,10328_1,joanna thinks snobbish anne bought desk,12
" He was tired and stressed after work and he raised his voice at her, and they argued for 20 minutes",10329_1,tired stressed work raised voice argued minutes,1
"Amanda is worried the workers won't finish redecoration by the end of February, before the wedding",10330_0,amanda worried workers finish redecoration february wedding,0
 Any delay will cost the workers a lot,10330_3,delay cost workers lot,59
Pete has lost his notes from Scotti's course when he was running for a bus,10332_0,pete lost notes scotti running bus,34
 Julie is going to give him her notes,10332_1,julie notes,34
Piyush is working in the security department with Concentrix and finds it tiring,10333_0,piyush working security department concentrix finds tiring,2
 Damarion's been going by plane as a passenger for 5 days and tomorrow he'll be back at work,10341_2,damarion plane passenger days tomorrow work,13
"Jenny has posted the form for Bromley this morning, including the plans for this job and for the previous one",10343_0,jenny posted form bromley morning including plans job previous,55
 Today she will leave work at 4,10343_2,today leave work,41
John will work home office today and has to inform Simon who coordinates works of the office,10344_0,john work office today inform simon coordinates works office,41
"Mel worked at a company, Izzy inquired about, but left 2 months ago",10350_0,mel worked company izzy inquired left months ago,51
" Connie is working there at the moment, but thinks about changing her job",10350_1,connie working moment thinks changing job,12
" He doesn't like movies nor books, but he likes sports such as basketball, so she will get him a headband",10351_1,movies books likes sports basketball headband,0
"Simon, Danie and Tom discuss the ""Rent a Kid"" initiative whereby people take care of someone else's children for one day",10353_0,simon danie tom discuss rent kid initiative people care children day,66
" They want to do it again, even if they're living in different places now",10356_1,living places,0
Jason js looking for some lecture notes,10363_0,jason lecture notes,34
 Adrianne offers some notes she took whereas Angelica remembers some more related facts,10363_1,adrianne offers notes angelica remembers facts,34
Adam is looking for ideas for his next date with Nelly,10368_0,adam ideas nelly,38
"Ruth, Myron, Tina, Paula, Gerard and Hugh are planning to go on a holiday trip together this summer",10372_0,ruth myron tina paula gerard hugh planning holiday trip summer,30
 They have agreed on renting a car and going to Masuria,10372_1,agreed renting car masuria,0
Anna's being sent to Bangkok for a work project,10373_0,anna bangkok work project,0
" Her partner Henry got promoted at his work, so he can't go with her",10373_1,partner henry promoted work,1
" Ost's mom is taking care for David, while Damir is with his mom at a kindergarten workshop",10378_1,ost mom care david damir mom kindergarten workshop,0
Mariah's GPS is not working,10379_0,mariah gps working,2
 They both think that it is stunning,10383_1,stunning,0
Jerry will call Lidia as he is preparing for work and she has 10 minuted of free time,10384_0,jerry lidia preparing work minuted free time,17
"During the meeting yesterday, Mike treated Marlene badly when she told him she forgot to prepare the statistics",10387_0,meeting yesterday mike treated marlene badly told forgot prepare statistics,49
 She thinks it's Wednesday and it's Thursday,10388_1,thinks wednesday thursday,12
Edward would like Clem to prioritize the notes he sent her,10389_0,edward clem prioritize notes,34
 Edward suggests she hands this over to Rick and focuses on the notes,10389_2,edward suggests hands rick focuses notes,34
Olivia has just seen the news and wonders if Tara and Vinnie are okay,10394_0,olivia news wonders tara vinnie,0
 Rodney thinks he should,10398_1,rodney thinks,12
At tomorrow's meeting Laura and Wade will discuss ideas for mom's birthday,10402_0,tomorrow meeting laura wade discuss ideas mom birthday,38
 Charlie's boyfriend recommended it to her,10404_1,charlie boyfriend recommended,0
 Richard and Susan agree that Ryan's performance was perfect,10405_1,richard susan agree ryan performance perfect,24
" He doesn't like Alaska, where he lives",10419_1,alaska lives,0
" He underwent sex surgery, hormone treatment and was brought up as Brenda",10421_2,underwent sex surgery hormone treatment brought brenda,0
 There are 12 people in the group and each will present 1 of 12 topics to others in the group,10423_1,people group topics group,56
 The group will stay after college this Thursday to assign topics,10423_2,group stay college thursday assign topics,0
 They have to decide which video to use,10427_1,decide video,28
 Betty has no plans for tonight just yet,10439_2,betty plans tonight,55
Paddy recommends Dan to take the trip,10441_0,paddy recommends dan trip,9
"Anna and Diana are preparing the gala, and they're discussing some organizational details",10444_0,anna diana preparing gala discussing organizational details,0
Edgar was flying a Lufthansa plane,10447_0,edgar flying lufthansa plane,0
" Isaac is also thinking about buying a new hard drive, because the one he has now is too loud",10451_1,isaac thinking buying hard drive loud,6
 Mel suggests buying a cheaper laptop and a desktop PC,10452_1,mel suggests buying cheaper laptop desktop,27
 Andy is planning to rent a sun bed for a month,10458_3,andy planning rent sun bed month,30
 Sue thinks Andy should check the size of the sun bed to be sure it fits the bedroom,10458_4,sue thinks andy check size sun bed fits bedroom,12
Dominique will give Gracelyn a lift to work tomorrow at 8 because Gracelyn's car is in the shop,10460_0,dominique gracelyn lift work tomorrow gracelyn car shop,13
Natalie is grateful for Patrick's comments,10465_0,natalie grateful patrick comments,0
Dr Baraglio doesn't work with Tom and Peter any more,10471_0,baraglio work tom peter,66
" Joe recommends Stephen King's ""On Writing""",10476_1,joe recommends stephen king writing,9
Violet and Tom will meet at Golf Shack at 6 after work to buy a gift card,10483_0,violet tom meet golf shack work buy gift card,66
Melanie is preparing Green Tomato Apple Chutney following the BBCFood link Tracy send her,10488_0,melanie preparing green tomato apple chutney bbcfood link tracy send,0
 Megan's going to plan a meet up,10492_2,megan plan meet,20
"Harmonie will work on the report for Ada today, after she finishes working on the file from Cynthia",10495_0,harmonie work report ada today finishes working file cynthia,41
Mary wants some ideas about what to wear to work,10497_0,mary ideas wear work,38
 James suggests to complain to Paul about the situation tomorrow,10500_1,james suggests complain paul situation tomorrow,13
Barbara needs someone who can edit videos as she needs it for work,10502_0,barbara edit videos work,1
 Joanna and Erika think her Nobel prize should be withdrawn,10515_1,joanna erika nobel prize withdrawn,0
 Sandra thinks drinking mint might help,10517_3,sandra thinks drinking mint,12
 Tammy has to do it herself,10518_1,tammy,0
Kate thinks they should go to the South for the New Year's Eve,10520_0,kate thinks south year eve,12
 Will agrees,10520_1,agrees,69
" Dana's going to Paris the next day, Alberto's going on work trip to Berlin, Lisbon and Sao Paolo, Jamie's boarding a plane",10522_1,dana paris day alberto work trip berlin lisbon sao paolo jamie boarding plane,67
 They're planning to meet in Paris,10522_2,planning meet paris,30
 Logan sends her a picture of a car as a suggestion for what he wants for Christmas,10530_1,logan sends picture car suggestion christmas,0
" He'll give her a number to Will who brought the film, so she can ask him",10539_1,number brought film,0
Theo is thinking about going for holiday in October this year,10541_0,theo thinking holiday october year,6
 Adam is thinking about June,10541_1,adam thinking june,6
Arnie asks Barbara for permission to go to Jason's after school for 2-3 hours,10542_0,arnie asks barbara permission jason school hours,18
Martha suggests Irwin that they need to buy a new mattress,10544_0,martha suggests irwin buy mattress,27
 Irwin can't go with Martha to the shop today as he has to work until 8 pm but decides to take her there tomorrow,10544_1,irwin martha shop today work decides tomorrow,41
"Tina, Sara and Marin compliment Gabrielle on her looks and suggest that she should choose the red shoes",10547_0,tina sara marin compliment gabrielle choose red shoes,0
Caroline asks Jeff to warm up her lunch box in the microwave,10550_0,caroline asks jeff warm lunch box microwave,18
Henry is missing Yana at work today,10553_0,henry missing yana work today,41
 Yana had a wonderful time with her dad,10553_1,yana wonderful time dad,17
"Shanice's man, Troy, is at home with her right now, but he lives in Alaska, which makes her jealous",10555_0,shanice man troy lives alaska jealous,0
 Sid does not care if Renata is offended or if she decides to leave the team,10556_1,sid care renata offended decides leave team,0
 Renata can be unreliable but she has a positive attitude and some good ideas,10556_2,renata unreliable positive attitude good ideas,38
" Anna can't join her, because she has already plans for the whole day",10557_1,anna join plans day,67
 Amelia's brother has it and thinks it is huge,10559_1,amelia brother thinks huge,12
 She got it with 30% discount because she found a deal on the app,10559_4,discount deal app,16
Alexander will send Freddie a picture of his plant when he gets back home,10563_0,alexander send freddie picture plant,0
" Chandler got a family discount through Cam, who works there",10565_2,chandler family discount cam works,5
He was snappy with Meghan after she asked him a question,10566_0,snappy meghan asked question,23
 Chris suggests this might be the reason he's in a bad mood,10566_2,chris suggests reason bad mood,27
 Sarah will bring some sushi from Kagos and Michelle will prepare some snacks,10571_2,sarah bring sushi kagos michelle prepare snacks,49
 Gloria has some suggestions but none of them is good enough,10575_1,gloria suggestions good,8
Sarah got the notes from the class today,10578_0,sarah notes class today,34
 Joan agrees with the ban,10582_2,joan agrees ban,69
" The interviewer was nice, but some questions he asked were strange",10584_1,interviewer nice questions asked strange,23
"Robert and Sandy are planning to go out together, but Robert doesn't like modern art, although Sandy loves it",10587_0,robert sandy planning robert modern art sandy loves,30
 They decide to go to see a documentary about Afghanistan at 7,10587_3,decide documentary afghanistan,28
 Ben thinks it does not need to be planned,10598_1,ben thinks planned,12
 Jo has networking to do now,10606_1,jo networking,0
there is no information to summarise ,10609_0,summarise,0
 They agreed on a price of 500€,10611_1,agreed price €,0
Rod and Onslow help Windy to get geography notes as she has missed a class,10612_0,rod onslow windy geography notes missed class,34
 Ina asks her to give congrats to her sister,10613_1,ina asks congrats sister,18
"Coco, Phil and Greg discuss vegan milk and its carbon footprint",10616_0,coco phil greg discuss vegan milk carbon footprint,40
Cael and Mae would have to ask CR to talk to their professor about visual learning,10629_0,cael mae talk professor visual learning,0
" Will allows him to, but he wants to ask Peter's mother for a permission first",10632_1,peter mother permission,0
Katelyn and Eric are planing to go travelling the World starting from Mexico,10634_0,katelyn eric planing travelling starting mexico,0
" Sergio asks her for a cigarette, to which she willingly agrees",10639_1,sergio asks cigarette willingly agrees,69
 Mary thinks that Kate watches bad movies only for attractive actors,10642_2,mary thinks kate watches bad movies attractive actors,12
" Kate didn't get to go on the exchange to the USA, because of opinions from her teachers",10645_1,kate exchange usa opinions teachers,0
The topic for the history interview is something about Modern Russia,10647_0,topic history interview modern russia,32
On January 11th Eve has to work and Sue has classes in the morning,10650_0,january eve work sue classes morning,1
 She will be back from work by 5 pm,10650_2,work,1
 Simon will make a playlist,10650_4,simon playlist,0
"Siobhan proposes to watch ""Anote's Ark"", the documentary about Kiribati, in their club",10655_0,siobhan proposes watch anote ark documentary kiribati club,0
 Sean agrees,10655_2,sean agrees,69
Greta's and Martin's assignment for chem class is preparing an experiment,10657_0,greta martin assignment chem class preparing experiment,0
Andy took a bus to work and was nearly two hours late due to heavy snow,10663_0,andy bus work hours late heavy snow,1
Darwin recommends Torrent and Reddit to Barbara,10668_0,darwin recommends torrent reddit barbara,9
 Thomas gives them directions,10672_1,thomas directions,0
" Owen emphasizes how inconsistently they play, but agrees that they made an improvement",10675_2,owen emphasizes inconsistently play agrees improvement,69
 Felicia asks Phobe and Maggie to make notes for her,10678_2,felicia asks phobe maggie notes,34
 Laura has friends working in San Salvador,10681_2,laura friends working san salvador,2
Nationalists are protesting against parliament's decision to change Macedonia's name,10682_0,nationalists protesting parliament decision change macedonia,0
 Neil wonders if Garry might be high,10689_1,neil wonders garry high,0
Sharie doesn't want to join the new project at work because she finds it undoable,10690_0,sharie join project work finds undoable,0
 Olivia and Mikel have decided to work on it,10690_1,olivia mikel decided work,48
Liam asks about the code for the entrance door in the office,10691_0,liam asks code entrance door office,18
Josie and Jill agreed to meet up for coffe at 7 o'clock,10692_0,josie jill agreed meet coffe clock,0
 Bella wonders how to make students discuss topics,10698_1,bella wonders students discuss topics,40
 Rick suggests to discuss this issue with others and come up with some ideas,10698_2,rick suggests discuss issue ideas,38
Clint from Sunroof wants to discuss some details with his client Aaron before he can start to repair his roof,10700_0,clint sunroof discuss details client aaron start repair roof,63
Jack will prepare carbonara for dinner at 3:30 pm,10702_0,jack prepare carbonara dinner,49
Jensen is preparing a meal for his family,10703_0,jensen preparing meal family,0
"Emsi's watching ""The Mentalist"" and likes the actor in the leading role",10716_0,emsi watching mentalist likes actor leading role,0
Paul looks to Charlotte for a book recommendation,10719_0,paul charlotte book recommendation,0
"Christina thinks her computer broke, and she's not able to finish her essay on American History",10725_0,christina thinks computer broke finish essay american history,12
" Jasmine recommends Ipanema beach, Lapa district for parties and Pão de Açucar",10737_1,jasmine recommends ipanema beach lapa district parties pão açucar,9
" John will pick Ellen up after her work, so they can talk",10742_3,john pick ellen work talk,0
" Kevin's costume was destroyed, he got home half naked and his mum thought he had been raped",10752_2,kevin costume destroyed half naked mum thought raped,4
 They'll also listen to a lecture on John Cage before the concert,10759_3,listen lecture john cage concert,21
 Gilda thinks Eui should inform the police,10764_1,gilda thinks eui inform police,12
Emily is at work wearing her work clothes,10770_0,emily work wearing work clothes,1
 Denis suggests his place at 18 and offers to contact the guys,10776_1,denis suggests place offers contact guys,27
"Lucas studies and works, so he has no time for rest",10786_0,lucas studies works time rest,5
Meg asks her girlfriends to recommend a good hairdresser,10789_0,meg asks girlfriends recommend good hairdresser,18
" Jane, Laura, Beth, Robin and Eva give her some recommendations",10789_1,jane laura beth robin eva recommendations,61
 Jeremy suggested that a bank employee may have found them,10792_2,jeremy suggested bank employee,0
Sam hasn't taken part in the Pete's party yesterday as he couldn't leave work early,10799_0,sam pete party yesterday leave work early,0
"On Sam's suggestion, Tina will wear a sweater not to get cold",10800_0,sam suggestion tina wear sweater cold,0
Tomek asks Ania to go out with him but she declines,10806_0,tomek asks ania declines,18
Andy is looking forward to seeing Sonia,10807_0,andy forward sonia,0
David has just bought plane tickets and Janette will take a look at prices now,10808_0,david bought plane tickets janette prices,0
John is working until 3 p,10814_0,john working,2
 He got a day off for Christmas Eve and he's working a second shift on Boxing Day,10814_3,day christmas eve working shift boxing day,67
Tom has asked Nicole out,10816_0,tom asked nicole,66
 Jill has just found out they are supposed to prepare something,10818_1,jill supposed prepare,49
Jake and Dimitry are discussing the political situation in Ukraine,10821_0,jake dimitry discussing political situation ukraine,0
Joanne has attended a very interesting workshop on gender ethics and new ways for feminism,10827_0,joanne attended interesting workshop gender ethics ways feminism,0
Allan will host a breakfast and plans the menu,10833_0,allan host breakfast plans menu,55
Heather thinks that the Internet is a scary place today,10834_0,heather thinks internet scary place today,41
Nigel reports to Bert the participants of the party,10835_0,nigel reports bert participants party,0
 The task was assigned to Paul,10836_2,task assigned paul,47
" Retha has a list of attractions, that Paul can use",10836_5,retha list attractions paul,35
Cathie and Natalie will talk about their weekend plans tomorrow,10843_0,cathie natalie talk weekend plans tomorrow,55
Margaret promised Judah she will make more home-cooked meals because they are both trying to lose weight,10849_0,margaret promised judah cooked meals lose weight,0
"Charles won't make it to Matilda's play, because he has to stay longer at work",10851_0,charles matilda play stay longer work,1
Bartek is planning to go to Opener next year,10855_0,bartek planning opener year,30
Lilly saw Heather's post about renewing old furniture and wants to do some renovating herself,10863_0,lilly heather post renewing furniture renovating,0
"Paul, Joe and Rob are planning to go to a ""Narcos""-themed escape room on Friday",10864_0,paul joe rob planning narcos themed escape room friday,30
 Camilla will ask at the gym office if it has been found and let Theresa know,10865_3,camilla gym office theresa,0
 The guestlist is yet to be made,10866_1,guestlist,0
Millie is glad she no longer works at the call center,10867_0,millie glad longer works center,5
Esme is rethinking her 6 months work trip,10868_0,esme rethinking months work trip,1
 When Esme is back Leo and Esme are going to plan their wedding,10868_1,esme leo esme plan wedding,20
"Mark, Anna, Julia and George are planning a trip to Italy",10874_0,mark anna julia george planning trip italy,30
" The decided to go to Sicily, George likes this idea the most since he is a great fan of Godfather",10874_1,decided sicily george likes idea great fan godfather,48
Zoe keeps listening to the song that Jacob played at his birthday,10881_0,zoe listening song jacob played birthday,44
 Caleb is listening to the same song,10881_1,caleb listening song,44
Fabio wasn't invited to Wilhelm's party Amelie and Rose are going to so he'll talk to him to explain the situation,10885_0,fabio invited wilhelm party amelie rose talk explain situation,0
The exercise 3 from page 45 is for homework,10887_0,exercise homework,0
Jenny enlists Audrey to help organise a hen party in the last week of June for Nadia who is getting married in two months,10888_0,jenny enlists audrey organise hen party week june nadia married months,50
 Jenny thinks about spending the day in a spa and going to a restaurant afterwards,10888_1,jenny thinks spending day spa restaurant,67
 Audrey suggests they buy matching outfits for them as bridesmaids and for the bride,10888_2,audrey suggests buy matching outfits bridesmaids bride,27
 Peter recommends booking,10889_1,peter recommends booking,9
" Ken suggests buying her a weekend in a spa, but it's expensive, so they need more people to chip in",10890_1,ken suggests buying weekend spa expensive people chip,27
Carter can only meet Sophie at the cinema and not the bar because he has to work longer,10896_0,carter meet sophie cinema bar work longer,1
 Sonia suggests Phillip to turn the notifications off,10897_1,sonia suggests phillip turn notifications,27
" Jess thinks it's a great idea, and offered Maddie £60 for 6 hours of work",10898_1,jess thinks great idea offered maddie £ hours work,29
 Dorothy will drop Margaret's point shoes off at Isabelle's work at Puławska 105,10902_1,dorothy drop margaret point shoes isabelle work puławska,54
"They are nostalgic about Spice Girls, who are preparing a reunion tour",10914_0,nostalgic spice girls preparing reunion tour,0
Garry thinks Theo can neither run nor play football,10915_0,garry thinks theo play football,12
"Willow's, Cindy's and Yolanda's homework is an essay on ethical fashion with deadline on December, 1st",10917_0,willow cindy yolanda homework essay ethical fashion deadline december,0
 Simon is staying home and planning to watch Daredevil on Netflix,10918_1,simon staying planning watch daredevil netflix,30
 Kristina recommends Novotel Alster for 175 eur for 2 nights,10922_5,kristina recommends novotel alster eur nights,9
" Toby, Charlie, Marion and Melanie discuss what they would do if they won the lottery",10925_1,toby charlie marion melanie discuss lottery,40
Victoria suggests having sex with Jacob,10927_0,victoria suggests sex jacob,27
 Lewis is in Hamburg for work,10927_1,lewis hamburg work,1
 Jacob is also working and going to a concert with Thomas in 2 hours,10927_2,jacob working concert thomas hours,2
Rachel recommends Revolut app to Diane and Joan,10930_0,rachel recommends revolut app diane joan,9
Mary suggests to start packing tonight,10935_0,mary suggests start packing tonight,63
 Sue thinks that her dad is easy to manipulate,10940_3,sue thinks dad easy manipulate,12
 Sue's mum agrees with that,10940_4,sue mum agrees,69
" Lukasz will pay partial payment of 20%, so Ola can start working",10946_1,lukasz pay partial payment ola start working,63
 Sunny recommends her Golden Star hotel,10947_1,sunny recommends golden star hotel,9
"Liam, Ryan and Todd will work out at the gym at 6 pm",10948_0,liam ryan todd work gym,1
" He will talk to him, maybe he will agree to resign",10952_2,talk agree resign,24
" Rachael doesn't want to complain about having a kid, but Paul understands it",10955_1,rachael complain kid paul understands,0
Cooper came up with new ideas for songs during weekend,10964_0,cooper ideas songs weekend,38
 Tom and Ana will discuss the presentation around dinner time,10965_4,tom ana discuss presentation dinner time,66
Janette wants Lucy's opinion on the current news,10966_0,janette lucy opinion current news,0
 Monica gives him ideas for stuff to do,10967_1,monica ideas stuff,38
Elliott has been up since 5 and asked Lilah how she is doing,10968_0,elliott asked lilah,23
Lily and Liam watched the last episode of Teen Wolf and they are discussing it,10969_0,lily liam watched episode teen wolf discussing,0
 Jennifer recommends Terry a visit to this physiotherapist,10974_2,jennifer recommends terry visit physiotherapist,9
"He came to Owen and fixed the heating temporarily, but it's not working again",10976_0,owen fixed heating temporarily working,2
 Tom will meet her to talk after work,10978_1,tom meet talk work,66
Max and Andrew are looking forward to the new developments this year of smart phones,10988_0,max andrew forward developments year smart phones,0
Serge enjoyed meeting Anna last night and he will text her to ask her out,10991_0,serge enjoyed meeting anna night text,26
" If it works out, he will introduce Harry to one of her friends and they can go for a double date",10991_1,works introduce harry friends double,5
"Mary's gay friend, Damien recommended that she checks out a gay club named Crisco",10993_0,mary gay friend damien recommended checks gay club named crisco,0
Ronnie reckons it's perfectly normal for smart people making money off stupid ones but Owen disagrees,10997_0,ronnie reckons perfectly normal smart people making money stupid owen disagrees,56
" Ronnie, Evan and Felix think some of magic stuff might just work thanks to placebo effect so people benefit from it",10997_1,ronnie evan felix magic stuff work placebo people benefit,62
"Jenny wants to do the workouts regularly, but she's afraid of them",10998_0,jenny workouts regularly afraid,0
 Andrew calms her and ensures that he and Charles will show her how to do the trainings properly,10998_1,andrew calms ensures charles trainings properly,0
 She's working at home now,11001_1,working,2
 Matt studies at University in Saskatchewan,11003_2,matt studies university saskatchewan,0
Abigail needs Jacob's opinion on which haircut she should get,11004_0,abigail jacob opinion haircut,0
" Molly decides to rent a car with Jeff, Ramona and Barbara",11005_2,molly decides rent car jeff ramona barbara,0
" Jenny will come to do her computer stuff at Sue's later today, after 4",11007_1,jenny computer stuff sue today,41
 Jane has been working here for almost a year,11013_2,jane working year,61
Tyler has tickets for Saturday's UofL and UK basketball game,11027_0,tyler tickets saturday uofl basketball game,0
 He got them from a friend who works it,11027_1,friend works,5
Colton is looking for a plumber but the one who worked on Samuel's bathroom did a bad job,11030_0,colton plumber worked samuel bathroom bad job,51
Victor needs 50 dollars from his parents to print some stuff for his school work,11036_0,victor dollars parents print stuff school work,62
Sasha has a crush on Fabiano and needs to know if he's gay but he's too insecure to ask him directly,11037_0,sasha crush fabiano gay insecure directly,0
" There will be Sarah's neighbours, colleagues from her work, Jane Judy and Kate with their boyfriends on the party",11038_2,sarah neighbours colleagues work jane judy kate boyfriends party,61
Jasmine suggests that Conrad should ask his mother what book he should get for grandpa's birthday,11052_0,jasmine suggests conrad mother book grandpa birthday,27
 Andy and Joanna think she won the breakup,11056_2,andy joanna breakup,0
"Bran asked his boss for some free days, but he hasn't got any answer yet",11064_0,bran asked boss free days answer,23
Julie asks for Christmas movies recommendation,11067_0,julie asks christmas movies recommendation,18
" Ramsay recommends a few titles, like Home Alone, the Santa Clause films, Rudolph, etc",11067_1,ramsay recommends titles santa clause films rudolph,9
